"Protein_ID","UniProt_ID","Identity","Alignment_length","E_value","Bit_score","UniProt_accession"
"KEQ89838.1","tr|A0ABR0TQQ2|A0ABR0TQQ2_AURPU",92,597,0,1061,"A0ABR0TQQ2"
"KEQ89850.1","tr|A0ABR0TSH3|A0ABR0TSH3_AURPU",94.9,435,6.34e-294,796,"A0ABR0TSH3"
"KEQ89907.1","tr|A0ABR0TL09|A0ABR0TL09_AURPU",86.1,662,0,1045,"A0ABR0TL09"
"KEQ89927.1","tr|A0ABR0TA39|A0ABR0TA39_AURPU",85.2,474,5.52e-291,791,"A0ABR0TA39"
"KEQ89928.1","tr|A0ABR0T9L9|A0ABR0T9L9_AURPU",86.7,489,0,877,"A0ABR0T9L9"
"KEQ89932.1","tr|A0ABR0T9X2|A0ABR0T9X2_AURPU",87,1105,0,1682,"A0ABR0T9X2"
"KEQ89946.1","tr|A0ABR0T8U1|A0ABR0T8U1_AURPU",86.1,281,1.1e-138,390,"A0ABR0T8U1"
"KEQ89952.1","tr|A0ABR0TJC5|A0ABR0TJC5_AURPU",80.9,403,5.34e-245,674,"A0ABR0TJC5"
"KEQ89957.1","tr|A0ABR0TLM6|A0ABR0TLM6_AURPU",87.5,718,0,1202,"A0ABR0TLM6"
"KEQ89969.1","tr|A0ABR0TMM7|A0ABR0TMM7_AURPU",85.2,283,3.06e-181,498,"A0ABR0TMM7"
"KEQ89974.1","tr|A0ABR0TMM3|A0ABR0TMM3_AURPU",74.6,315,3.56e-150,421,"A0ABR0TMM3"
"KEQ89980.1","tr|A0ABR0TL56|A0ABR0TL56_AURPU",78.1,553,0,915,"A0ABR0TL56"
"KEQ89990.1","tr|A0ABR0TMN5|A0ABR0TMN5_AURPU",85.9,538,0,912,"A0ABR0TMN5"
"KEQ90023.1","tr|A0ABR0T8V8|A0ABR0T8V8_AURPU",88.8,644,0,1115,"A0ABR0T8V8"
"KEQ90029.1","tr|A0ABR0TR95|A0ABR0TR95_AURPU",87.3,448,3.81e-295,800,"A0ABR0TR95"
"KEQ90038.1","tr|A0ABR0TQA3|A0ABR0TQA3_AURPU",97.2,744,0,1387,"A0ABR0TQA3"
"KEQ90041.1","tr|A0ABR0TQC7|A0ABR0TQC7_AURPU",97.6,502,0,989,"A0ABR0TQC7"
"KEQ90043.1","tr|A0ABR0TRX4|A0ABR0TRX4_AURPU",91.1,313,9.19e-174,482,"A0ABR0TRX4"
"KEQ90059.1","tr|A0ABR0TQB6|A0ABR0TQB6_AURPU",100,372,1.85e-267,754,"A0ABR0TQB6"
"KEQ90062.1","tr|A0ABR0T8R0|A0ABR0T8R0_AURPU",77.1,402,1.94e-235,645,"A0ABR0T8R0"
"KEQ90072.1","tr|A0ABR0T8P8|A0ABR0T8P8_AURPU",73.4,507,5.36e-199,561,"A0ABR0T8P8"
"KEQ90085.1","tr|A0ABR0T9K4|A0ABR0T9K4_AURPU",95.2,917,0,1557,"A0ABR0T9K4"
"KEQ90137.1","tr|A0ABR0T890|A0ABR0T890_AURPU",84.4,659,0,1035,"A0ABR0T890"
"OBW63527.1","tr|A0ABR0TW06|A0ABR0TW06_AURPU",88.5,253,1.95e-153,426,"A0ABR0TW06"
"OBW63542.1","tr|A0ABR0T656|A0ABR0T656_AURPU",88.8,250,5.32e-156,452,"A0ABR0T656"
"OBW63549.1","tr|A0ABR0TUQ7|A0ABR0TUQ7_AURPU",97.7,258,1.7e-159,462,"A0ABR0TUQ7"
"OBW63560.1","tr|A0ABR0TSS9|A0ABR0TSS9_AURPU",97.4,228,1.29e-155,432,"A0ABR0TSS9"
"OBW63564.1","tr|A0ABR0TNX9|A0ABR0TNX9_AURPU",86.1,267,4.49e-167,484,"A0ABR0TNX9"
"OBW63580.1","tr|A0ABR0T7I2|A0ABR0T7I2_AURPU",88,325,1.92e-218,604,"A0ABR0T7I2"
"OBW63584.1","tr|A0ABR0TBD3|A0ABR0TBD3_AURPU",82,294,5.67e-161,448,"A0ABR0TBD3"
"OBW63612.1","tr|A0ABR0TBG1|A0ABR0TBG1_AURPU",87.6,275,1.6e-178,499,"A0ABR0TBG1"
"OBW63614.1","tr|A0ABR0TV41|A0ABR0TV41_AURPU",72.6,259,2.97e-130,367,"A0ABR0TV41"
"OBW63620.1","tr|A0ABR0TCU8|A0ABR0TCU8_AURPU",77.4,283,1.66e-132,380,"A0ABR0TCU8"
"OBW63634.1","tr|A0ABR0TJ08|A0ABR0TJ08_AURPU",82.4,444,4.62e-280,774,"A0ABR0TJ08"
"OBW63642.1","tr|A0ABR0TDP4|A0ABR0TDP4_AURPU",76.2,302,2.8e-175,485,"A0ABR0TDP4"
"OBW63678.1","tr|A0ABR0T7B3|A0ABR0T7B3_AURPU",87.7,416,1.77e-278,756,"A0ABR0T7B3"
"OBW63683.1","tr|A0ABR0TC04|A0ABR0TC04_AURPU",88.7,530,0,1000,"A0ABR0TC04"
"OBW63720.1","tr|A0ABR0TSS9|A0ABR0TSS9_AURPU",98.7,228,2.06e-152,436,"A0ABR0TSS9"
"OBW63741.1","tr|A0ABR0TLR6|A0ABR0TLR6_AURPU",74.1,378,3.1e-194,539,"A0ABR0TLR6"
"OBW63752.1","tr|A0ABR0TE86|A0ABR0TE86_AURPU",75.7,497,2.92e-239,668,"A0ABR0TE86"
"OBW63759.1","tr|A0ABR0T8G9|A0ABR0T8G9_AURPU",88.3,342,1.66e-226,618,"A0ABR0T8G9"
"OBW63774.1","tr|A0ABR0T8C3|A0ABR0T8C3_AURPU",95.5,245,5.99e-164,460,"A0ABR0T8C3"
"OBW63784.1","tr|A0ABR0T630|A0ABR0T630_AURPU",79.1,369,3.72e-208,573,"A0ABR0T630"
"OBW63792.1","tr|A0ABR0TCB7|A0ABR0TCB7_AURPU",72.6,368,3.4e-188,525,"A0ABR0TCB7"
"OBW63820.1","tr|A0ABR0TIT3|A0ABR0TIT3_AURPU",84.9,370,1.76e-228,624,"A0ABR0TIT3"
"OBW63828.1","tr|A0ABR0T5E3|A0ABR0T5E3_AURPU",82.1,536,0,875,"A0ABR0T5E3"
"OBW63838.1","tr|A0ABR0TIN8|A0ABR0TIN8_AURPU",91.7,266,1.46e-178,491,"A0ABR0TIN8"
"OBW63881.1","tr|A0ABR0TKR4|A0ABR0TKR4_AURPU",91.5,515,0,984,"A0ABR0TKR4"
"OBW63886.1","tr|A0ABR0TCA3|A0ABR0TCA3_AURPU",80.9,971,0,1273,"A0ABR0TCA3"
"OBW63897.1","tr|A0ABR0TLP9|A0ABR0TLP9_AURPU",83.4,748,0,1283,"A0ABR0TLP9"
"OBW63914.1","tr|A0ABR0TUX4|A0ABR0TUX4_AURPU",92.4,225,1.16e-141,424,"A0ABR0TUX4"
"OBW63918.1","tr|A0ABR0TPJ0|A0ABR0TPJ0_AURPU",89.4,273,3.43e-187,518,"A0ABR0TPJ0"
"OBW63932.1","tr|A0ABR0T8L9|A0ABR0T8L9_AURPU",79.3,377,2.9e-219,602,"A0ABR0T8L9"
"OBW63949.1","tr|A0ABR0THA5|A0ABR0THA5_AURPU",83.5,460,3.04e-225,624,"A0ABR0THA5"
"OBW63954.1","tr|A0ABR0TRG4|A0ABR0TRG4_AURPU",94.7,377,2.79e-262,723,"A0ABR0TRG4"
"OBW63972.1","tr|A0ABR0TCR7|A0ABR0TCR7_AURPU",75.2,636,3.30999971123247e-317,879,"A0ABR0TCR7"
"OBW64006.1","tr|A0ABR0TFH8|A0ABR0TFH8_AURPU",71.5,466,3.74e-230,637,"A0ABR0TFH8"
"OBW64034.1","tr|A0ABR0T9M5|A0ABR0T9M5_AURPU",82.3,237,1.56e-127,365,"A0ABR0T9M5"
"OBW64038.1","tr|A0ABR0TLQ7|A0ABR0TLQ7_AURPU",92.5,386,2.9e-256,697,"A0ABR0TLQ7"
"OBW64039.1","tr|A0ABR0TNC2|A0ABR0TNC2_AURPU",92.1,579,0,1075,"A0ABR0TNC2"
"OBW64040.1","tr|A0ABR0TT82|A0ABR0TT82_AURPU",74.3,768,0,979,"A0ABR0TT82"
"OBW64050.1","tr|A0ABR0TR25|A0ABR0TR25_AURPU",84.2,1121,0,1638,"A0ABR0TR25"
"OBW64100.1","tr|A0ABR0T7A7|A0ABR0T7A7_AURPU",93.5,506,0,897,"A0ABR0T7A7"
"OBW64108.1","tr|A0ABR0TIN6|A0ABR0TIN6_AURPU",78.9,247,1.5e-142,397,"A0ABR0TIN6"
"OBW64123.1","tr|A0ABR0TAC2|A0ABR0TAC2_AURPU",74.2,647,0,891,"A0ABR0TAC2"
"OBW64128.1","tr|A0ABR0TIJ1|A0ABR0TIJ1_AURPU",82.8,820,0,1015,"A0ABR0TIJ1"
"OBW64131.1","tr|A0ABR0T985|A0ABR0T985_AURPU",91.6,322,1.29e-228,623,"A0ABR0T985"
"OBW64153.1","tr|A0ABR0TAQ9|A0ABR0TAQ9_AURPU",84.9,542,4.73e-283,791,"A0ABR0TAQ9"
"OBW64160.1","tr|A0ABR0TVY9|A0ABR0TVY9_AURPU",89.8,549,0,985,"A0ABR0TVY9"
"OBW64165.1","tr|A0ABR0T622|A0ABR0T622_AURPU",93.9,577,1.81000010629214e-317,888,"A0ABR0T622"
"OBW64234.1","tr|A0ABR0TA99|A0ABR0TA99_AURPU",89.5,787,0,1409,"A0ABR0TA99"
"OBW64266.1","tr|A0ABR0T796|A0ABR0T796_AURPU",81.4,371,9.04e-222,607,"A0ABR0T796"
"OBW64281.1","tr|A0ABR0TD56|A0ABR0TD56_AURPU",76,1044,0,1495,"A0ABR0TD56"
"OBW64283.1","tr|A0ABR0TGK6|A0ABR0TGK6_AURPU",88.7,390,4.49e-259,709,"A0ABR0TGK6"
"OBW64294.1","tr|A0ABR0TVI3|A0ABR0TVI3_AURPU",74.9,654,0,950,"A0ABR0TVI3"
"OBW64305.1","tr|A0ABR0TH77|A0ABR0TH77_AURPU",70.2,446,2.93e-207,595,"A0ABR0TH77"
"OBW64307.1","tr|A0ABR0TH88|A0ABR0TH88_AURPU",72.2,533,1.53e-241,671,"A0ABR0TH88"
"OBW64309.1","tr|A0ABR0T5F4|A0ABR0T5F4_AURPU",94,553,0,1071,"A0ABR0T5F4"
"OBW64313.1","tr|A0ABR0TQS8|A0ABR0TQS8_AURPU",92.9,822,0,1452,"A0ABR0TQS8"
"OBW64320.1","tr|A0ABR0T897|A0ABR0T897_AURPU",75.5,613,1.05e-305,884,"A0ABR0T897"
"OBW64332.1","tr|A0ABR0TBL8|A0ABR0TBL8_AURPU",91.9,295,1.52e-187,515,"A0ABR0TBL8"
"OBW64344.1","tr|A0ABR0TWQ0|A0ABR0TWQ0_AURPU",90.8,380,7.45e-256,700,"A0ABR0TWQ0"
"OBW64383.1","tr|A0ABR0T5L1|A0ABR0T5L1_AURPU",86.3,453,2e-277,759,"A0ABR0T5L1"
"OBW64384.1","tr|A0ABR0TNC1|A0ABR0TNC1_AURPU",96,520,0,1020,"A0ABR0TNC1"
"OBW64392.1","tr|A0ABR0TRW7|A0ABR0TRW7_AURPU",77.7,403,7.83e-242,664,"A0ABR0TRW7"
"OBW64403.1","tr|A0ABR0THG9|A0ABR0THG9_AURPU",87.2,500,3.23e-288,786,"A0ABR0THG9"
"OBW64430.1","tr|A0ABR0TAE9|A0ABR0TAE9_AURPU",78,223,2.36e-118,334,"A0ABR0TAE9"
"OBW64461.1","tr|A0ABR0TBM9|A0ABR0TBM9_AURPU",80.6,351,1.88e-209,576,"A0ABR0TBM9"
"OBW64508.1","tr|A0ABR0TK86|A0ABR0TK86_AURPU",83.5,492,0,884,"A0ABR0TK86"
"OBW64512.1","tr|A0ABR0TLI1|A0ABR0TLI1_AURPU",97,659,0,1249,"A0ABR0TLI1"
"OBW64528.1","tr|A0ABR0TE10|A0ABR0TE10_AURPU",85.5,775,0,1350,"A0ABR0TE10"
"OBW64541.1","tr|A0ABR0TKQ3|A0ABR0TKQ3_AURPU",71.4,461,8.83e-223,618,"A0ABR0TKQ3"
"OBW64556.1","tr|A0ABR0T5W1|A0ABR0T5W1_AURPU",72,635,3.55e-291,806,"A0ABR0T5W1"
"OBW64577.1","tr|A0ABR0TQW8|A0ABR0TQW8_AURPU",81.4,472,9.37e-237,654,"A0ABR0TQW8"
"OBW64582.1","tr|A0ABR0T558|A0ABR0T558_AURPU",85.7,483,6.08999999999999e-310,885,"A0ABR0T558"
"OBW64589.1","tr|A0ABR0TEG5|A0ABR0TEG5_AURPU",84.2,292,6.07e-176,494,"A0ABR0TEG5"
"OBW64618.1","tr|A0ABR0TKM7|A0ABR0TKM7_AURPU",94.5,655,0,1206,"A0ABR0TKM7"
"OBW64668.1","tr|A0ABR0TJT6|A0ABR0TJT6_AURPU",75,412,1.35e-220,620,"A0ABR0TJT6"
"OBW64674.1","tr|A0ABR0TVY2|A0ABR0TVY2_AURPU",73.8,832,0,1166,"A0ABR0TVY2"
"OBW64676.1","tr|A0ABR0TU63|A0ABR0TU63_AURPU",79.3,1045,0,1343,"A0ABR0TU63"
"OBW64689.1","tr|A0ABR0TTH8|A0ABR0TTH8_AURPU",81.2,451,3.98e-259,714,"A0ABR0TTH8"
"OBW64701.1","tr|A0ABR0TRJ4|A0ABR0TRJ4_AURPU",85.5,379,1.85e-234,647,"A0ABR0TRJ4"
"OBW64757.1","tr|A0ABR0TBP7|A0ABR0TBP7_AURPU",83.4,517,4.02e-302,839,"A0ABR0TBP7"
"OBW64759.1","tr|A0ABR0TBQ0|A0ABR0TBQ0_AURPU",98.8,244,4.56e-172,479,"A0ABR0TBQ0"
"OBW64779.1","tr|A0ABR0TPJ6|A0ABR0TPJ6_AURPU",93.8,949,0,1842,"A0ABR0TPJ6"
"OBW64781.1","tr|A0ABR0TUB7|A0ABR0TUB7_AURPU",94.7,337,8.8e-236,644,"A0ABR0TUB7"
"OBW64837.1","tr|A0ABR0T896|A0ABR0T896_AURPU",74.9,215,2.09e-119,340,"A0ABR0T896"
"OBW64839.1","tr|A0ABR0T8F5|A0ABR0T8F5_AURPU",72.1,476,1.05e-238,657,"A0ABR0T8F5"
"OBW64847.1","tr|A0ABR0THA1|A0ABR0THA1_AURPU",79.6,1025,0,1674,"A0ABR0THA1"
"OBW64851.1","tr|A0ABR0TPT6|A0ABR0TPT6_AURPU",80.1,272,3.82e-156,434,"A0ABR0TPT6"
"OBW64871.1","tr|A0ABR0TH35|A0ABR0TH35_AURPU",80.5,236,5.16e-128,377,"A0ABR0TH35"
"OBW64944.1","tr|A0ABR0T9U5|A0ABR0T9U5_AURPU",89.5,570,0,992,"A0ABR0T9U5"
"OBW64950.1","tr|A0ABR0TK21|A0ABR0TK21_AURPU",87.7,577,0,982,"A0ABR0TK21"
"OBW64954.1","tr|A0ABR0TKH7|A0ABR0TKH7_AURPU",90.1,634,0,1193,"A0ABR0TKH7"
"OBW64962.1","tr|A0ABR0TFY0|A0ABR0TFY0_AURPU",86.9,213,3.38e-130,376,"A0ABR0TFY0"
"OBW64985.1","tr|A0ABR0T7E6|A0ABR0T7E6_AURPU",83.7,307,5.62e-163,462,"A0ABR0T7E6"
"OBW65000.1","tr|A0ABR0THJ9|A0ABR0THJ9_AURPU",93.5,645,0,1143,"A0ABR0THJ9"
"OBW65001.1","tr|A0ABR0TMX3|A0ABR0TMX3_AURPU",88.6,570,0,1020,"A0ABR0TMX3"
"OBW65016.1","tr|A0ABR0TTF2|A0ABR0TTF2_AURPU",74.1,642,1.69999999999986e-311,855,"A0ABR0TTF2"
"OBW65028.1","tr|A0ABR0TBI1|A0ABR0TBI1_AURPU",83.6,293,5.65e-152,446,"A0ABR0TBI1"
"OBW65077.1","tr|A0ABR0T4V0|A0ABR0T4V0_AURPU",77,601,0,1014,"A0ABR0T4V0"
"OBW65113.1","tr|A0ABR0TQN5|A0ABR0TQN5_AURPU",88.6,254,1.19e-166,470,"A0ABR0TQN5"
"OBW65126.1","tr|A0ABR0TGM1|A0ABR0TGM1_AURPU",77,1029,0,1605,"A0ABR0TGM1"
"OBW65150.1","tr|A0ABR0T760|A0ABR0T760_AURPU",76.4,296,9.69e-157,450,"A0ABR0T760"
"OBW65153.1","tr|A0ABR0TPD4|A0ABR0TPD4_AURPU",81.2,292,1.15e-157,451,"A0ABR0TPD4"
"OBW65156.1","tr|A0ABR0TMQ8|A0ABR0TMQ8_AURPU",95.4,745,0,1262,"A0ABR0TMQ8"
"OBW65185.1","tr|A0ABR0TSQ4|A0ABR0TSQ4_AURPU",71.8,554,6.78e-300,836,"A0ABR0TSQ4"
"OBW65192.1","tr|A0ABR0TSZ7|A0ABR0TSZ7_AURPU",92,602,0,1080,"A0ABR0TSZ7"
"OBW65275.1","tr|A0ABR0TWZ3|A0ABR0TWZ3_AURPU",89.6,691,0,1295,"A0ABR0TWZ3"
"OBW65307.1","tr|A0ABR0T700|A0ABR0T700_AURPU",75.4,509,6.45e-301,824,"A0ABR0T700"
"OBW65341.1","tr|A0ABR0T6E0|A0ABR0T6E0_AURPU",96.4,364,1.2e-257,719,"A0ABR0T6E0"
"OBW65381.1","tr|A0ABR0TL53|A0ABR0TL53_AURPU",82.1,240,3.73e-90,264,"A0ABR0TL53"
"OBW65387.1","tr|A0ABR0T6V2|A0ABR0T6V2_AURPU",85.4,390,7.88e-248,691,"A0ABR0T6V2"
"OBW65435.1","tr|A0ABR0TH45|A0ABR0TH45_AURPU",85.7,435,2.99e-287,779,"A0ABR0TH45"
"OBW65450.1","tr|A0ABR0TUM3|A0ABR0TUM3_AURPU",89,803,0,1453,"A0ABR0TUM3"
"OBW65458.1","tr|A0ABR0TUX1|A0ABR0TUX1_AURPU",70.2,813,0,1105,"A0ABR0TUX1"
"OBW65476.1","tr|A0ABR0T6Z0|A0ABR0T6Z0_AURPU",83.4,531,9.26000066389727e-318,862,"A0ABR0T6Z0"
"OBW65546.1","tr|A0ABR0TMK6|A0ABR0TMK6_AURPU",90.8,577,0,1017,"A0ABR0TMK6"
"OBW65576.1","tr|A0ABR0TD76|A0ABR0TD76_AURPU",82.3,1692,0,2359,"A0ABR0TD76"
"OBW65599.1","tr|A0ABR0TW74|A0ABR0TW74_AURPU",85.6,645,0,1063,"A0ABR0TW74"
"OBW65600.1","tr|A0ABR0TUR1|A0ABR0TUR1_AURPU",84.7,567,0,952,"A0ABR0TUR1"
"OBW65606.1","tr|A0ABR0TQY6|A0ABR0TQY6_AURPU",84.8,475,2.57e-289,787,"A0ABR0TQY6"
"OBW65610.1","tr|A0ABR0TG36|A0ABR0TG36_AURPU",83.7,215,6.85e-90,267,"A0ABR0TG36"
"OBW65675.1","tr|A0ABR0T6Q0|A0ABR0T6Q0_AURPU",93.7,301,2.8e-202,553,"A0ABR0T6Q0"
"OBW65696.1","tr|A0ABR0T9G7|A0ABR0T9G7_AURPU",88.8,428,1.26e-255,699,"A0ABR0T9G7"
"OBW65718.1","tr|A0ABR0TLB9|A0ABR0TLB9_AURPU",77.7,444,2.45e-236,669,"A0ABR0TLB9"
"OBW65737.1","tr|A0ABR0T8M6|A0ABR0T8M6_AURPU",70.8,1093,0,1371,"A0ABR0T8M6"
"OBW65775.1","tr|A0ABR0TQD7|A0ABR0TQD7_AURPU",91.9,829,0,1426,"A0ABR0TQD7"
"OBW65795.1","tr|A0ABR0TLE2|A0ABR0TLE2_AURPU",80.1,597,0,951,"A0ABR0TLE2"
"OBW65799.1","tr|A0ABR0TJD9|A0ABR0TJD9_AURPU",92,276,6.07e-161,466,"A0ABR0TJD9"
"OBW65807.1","tr|A0ABR0TB18|A0ABR0TB18_AURPU",85.5,913,0,1534,"A0ABR0TB18"
"OBW65831.1","tr|A0ABR0TG91|A0ABR0TG91_AURPU",83.6,1302,0,2085,"A0ABR0TG91"
"OBW65836.1","tr|A0ABR0THQ2|A0ABR0THQ2_AURPU",77.5,378,5.48e-224,626,"A0ABR0THQ2"
"OBW65843.1","tr|A0ABR0TTE5|A0ABR0TTE5_AURPU",85.2,635,0,1081,"A0ABR0TTE5"
"OBW65915.1","tr|A0ABR0TPE9|A0ABR0TPE9_AURPU",83.1,569,3.64999999999168e-313,856,"A0ABR0TPE9"
"OBW65921.1","tr|A0ABR0TWH0|A0ABR0TWH0_AURPU",86.8,257,1.48e-159,444,"A0ABR0TWH0"
"OBW65945.1","tr|A0ABR0T655|A0ABR0T655_AURPU",86,522,0,914,"A0ABR0T655"
"OBW65950.1","tr|A0ABR0T565|A0ABR0T565_AURPU",73.4,271,4.33e-145,422,"A0ABR0T565"
"OBW65957.1","tr|A0ABR0TH77|A0ABR0TH77_AURPU",79.9,925,0,1431,"A0ABR0TH77"
"OBW65977.1","tr|A0ABR0TKY5|A0ABR0TKY5_AURPU",86.3,908,0,1456,"A0ABR0TKY5"
"OBW66025.1","tr|A0ABR0TF20|A0ABR0TF20_AURPU",85.3,348,1.54e-198,556,"A0ABR0TF20"
"OBW66031.1","tr|A0ABR0TF16|A0ABR0TF16_AURPU",89.4,537,0,971,"A0ABR0TF16"
"OBW66048.1","tr|A0ABR0TR15|A0ABR0TR15_AURPU",93.6,915,0,1105,"A0ABR0TR15"
"OBW66096.1","tr|A0ABR0TS31|A0ABR0TS31_AURPU",89.2,656,0,1159,"A0ABR0TS31"
"OBW66103.1","tr|A0ABR0TNJ5|A0ABR0TNJ5_AURPU",77.6,474,2.5e-258,706,"A0ABR0TNJ5"
"OBW66132.1","tr|A0ABR0TD45|A0ABR0TD45_AURPU",87.7,472,1.03e-297,850,"A0ABR0TD45"
"OBW66158.1","tr|A0ABR0T959|A0ABR0T959_AURPU",71,675,1.02999841451108e-318,874,"A0ABR0T959"
"OBW66170.1","tr|A0ABR0TEC7|A0ABR0TEC7_AURPU",80.2,514,1.35e-292,797,"A0ABR0TEC7"
"OBW66174.1","tr|A0ABR0TEE1|A0ABR0TEE1_AURPU",78,717,0,1102,"A0ABR0TEE1"
"OBW66245.1","tr|A0ABR0TER9|A0ABR0TER9_AURPU",80.4,322,6.44e-171,491,"A0ABR0TER9"
"OBW66287.1","tr|A0ABR0TP27|A0ABR0TP27_AURPU",90,1837,0,3123,"A0ABR0TP27"
"OBW66344.1","tr|A0ABR0TQI8|A0ABR0TQI8_AURPU",81.7,279,5.98e-154,428,"A0ABR0TQI8"
"OBW66361.1","tr|A0ABR0TJI8|A0ABR0TJI8_AURPU",93.5,643,0,1206,"A0ABR0TJI8"
"OBW66398.1","tr|A0ABR0TB00|A0ABR0TB00_AURPU",86.1,574,0,960,"A0ABR0TB00"
"OBW66430.1","tr|A0ABR0TJX2|A0ABR0TJX2_AURPU",98.9,378,2.11e-262,728,"A0ABR0TJX2"
"OBW66436.1","tr|A0ABR0TTF5|A0ABR0TTF5_AURPU",78.1,723,0,1110,"A0ABR0TTF5"
"OBW66497.1","tr|A0ABR0TJ12|A0ABR0TJ12_AURPU",86,941,0,1585,"A0ABR0TJ12"
"OBW66525.1","tr|A0ABR0TC55|A0ABR0TC55_AURPU",84.5,328,3.46e-205,563,"A0ABR0TC55"
"OBW66540.1","tr|A0ABR0TSW4|A0ABR0TSW4_AURPU",85.9,525,7.25000327823424e-318,879,"A0ABR0TSW4"
"OBW66560.1","tr|A0ABR0TUY8|A0ABR0TUY8_AURPU",90.1,923,0,1573,"A0ABR0TUY8"
"OBW66571.1","tr|A0ABR0TBW1|A0ABR0TBW1_AURPU",73.9,517,1.53e-256,707,"A0ABR0TBW1"
"OBW66593.1","tr|A0ABR0TST3|A0ABR0TST3_AURPU",82.3,209,2.34e-105,305,"A0ABR0TST3"
"OBW66595.1","tr|A0ABR0TT71|A0ABR0TT71_AURPU",79.8,698,0,916,"A0ABR0TT71"
"OBW66596.1","tr|A0ABR0TTU8|A0ABR0TTU8_AURPU",86.1,395,1.93e-249,688,"A0ABR0TTU8"
"OBW66623.1","tr|A0ABR0TCI0|A0ABR0TCI0_AURPU",84.3,536,0,914,"A0ABR0TCI0"
"OBW66625.1","tr|A0ABR0TB15|A0ABR0TB15_AURPU",71.3,784,0,1061,"A0ABR0TB15"
"OBW66639.1","tr|A0ABR0T810|A0ABR0T810_AURPU",83.8,795,0,1366,"A0ABR0T810"
"OBW66660.1","tr|A0ABR0TFX1|A0ABR0TFX1_AURPU",93.7,510,0,959,"A0ABR0TFX1"
"OBW66661.1","tr|A0ABR0TEL0|A0ABR0TEL0_AURPU",88.7,773,0,1266,"A0ABR0TEL0"
"OBW66678.1","tr|A0ABR0T5Z1|A0ABR0T5Z1_AURPU",79.3,362,1.15e-215,597,"A0ABR0T5Z1"
"OBW66764.1","tr|A0ABR0TKG5|A0ABR0TKG5_AURPU",79.6,314,5.28e-181,517,"A0ABR0TKG5"
"OBW66805.1","tr|A0ABR0TUH7|A0ABR0TUH7_AURPU",88.4,848,0,1538,"A0ABR0TUH7"
"OBW66812.1","tr|A0ABR0TS49|A0ABR0TS49_AURPU",93.7,495,0,938,"A0ABR0TS49"
"OBW66815.1","tr|A0ABR0TQH3|A0ABR0TQH3_AURPU",81.3,1174,0,1907,"A0ABR0TQH3"
"OBW66823.1","tr|A0ABR0TGD5|A0ABR0TGD5_AURPU",84.7,1388,0,1913,"A0ABR0TGD5"
"OBW66835.1","tr|A0ABR0TJ99|A0ABR0TJ99_AURPU",74.1,953,0,1313,"A0ABR0TJ99"
"OBW66851.1","tr|A0ABR0TBF6|A0ABR0TBF6_AURPU",75.7,608,0,912,"A0ABR0TBF6"
"OBW66855.1","tr|A0ABR0TCU0|A0ABR0TCU0_AURPU",87,338,2.98e-199,548,"A0ABR0TCU0"
"OBW66858.1","tr|A0ABR0TBX8|A0ABR0TBX8_AURPU",94.4,410,1.89e-268,751,"A0ABR0TBX8"
"OBW66867.1","tr|A0ABR0TR55|A0ABR0TR55_AURPU",84.8,396,2.16e-228,639,"A0ABR0TR55"
"OBW66869.1","tr|A0ABR0TR29|A0ABR0TR29_AURPU",86.6,1663,0,2742,"A0ABR0TR29"
"OBW66879.1","tr|A0ABR0TGT1|A0ABR0TGT1_AURPU",86.6,402,3.4e-258,725,"A0ABR0TGT1"
"OBW66903.1","tr|A0ABR0TSZ9|A0ABR0TSZ9_AURPU",82.8,297,4.16e-177,504,"A0ABR0TSZ9"
"OBW66916.1","tr|A0ABR0TTD2|A0ABR0TTD2_AURPU",95.6,1063,0,1983,"A0ABR0TTD2"
"OBW66963.1","tr|A0ABR0TF91|A0ABR0TF91_AURPU",73.7,365,7.59e-162,455,"A0ABR0TF91"
"OBW66994.1","tr|A0ABR0TI38|A0ABR0TI38_AURPU",88.6,845,0,1399,"A0ABR0TI38"
"OBW67037.1","tr|A0ABR0TDR0|A0ABR0TDR0_AURPU",93.2,911,0,1653,"A0ABR0TDR0"
"OBW67054.1","tr|A0ABR0TD24|A0ABR0TD24_AURPU",97.4,423,1.10000000672897e-316,854,"A0ABR0TD24"
"OBW67079.1","tr|A0ABR0TDX1|A0ABR0TDX1_AURPU",73.4,319,9.78e-166,481,"A0ABR0TDX1"
"OBW67101.1","tr|A0ABR0TJZ1|A0ABR0TJZ1_AURPU",70.1,311,1.52e-161,452,"A0ABR0TJZ1"
"OBW67117.1","tr|A0ABR0TR21|A0ABR0TR21_AURPU",84.9,636,0,1136,"A0ABR0TR21"
"OBW67129.1","tr|A0ABR0TA90|A0ABR0TA90_AURPU",82.7,642,5.29e-287,802,"A0ABR0TA90"
"OBW67139.1","tr|A0ABR0TIG2|A0ABR0TIG2_AURPU",92.3,363,8.68e-246,675,"A0ABR0TIG2"
"OBW67149.1","tr|A0ABR0TI65|A0ABR0TI65_AURPU",80.6,1471,0,2232,"A0ABR0TI65"
"OBW67150.1","tr|A0ABR0TIA5|A0ABR0TIA5_AURPU",87.8,543,0,951,"A0ABR0TIA5"
"OBW67164.1","tr|A0ABR0T9D8|A0ABR0T9D8_AURPU",88.8,741,0,1313,"A0ABR0T9D8"
