UniProt_accession,Protein_name,Gene,Length
A0ABR0TGI7,DUF747-domain-containing protein,QM012_000880,893
A0ABR0TGR9,DASH complex subunit DUO1,QM012_009403,245
A0ABR0TGT2,Uncharacterized protein,QM012_009414,219
A0ABR0TH72,Glycosyltransferase 2-like domain-containing protein,QM012_009553,774
A0ABR0TI34,Adipose-regulatory protein,QM012_009346,394
A0ABR0TI88,Large ribosomal subunit protein mL53,QM012_008998,98
A0ABR0TJ10,TPR-like protein,QM012_008741,624
A0ABR0TJ46,Putative peptidase domain-containing protein,QM012_008330,334
A0ABR0TJC3,Telomeric single stranded DNA binding POT1/Cdc13 domain-containing protein,QM012_008410,1956
A0ABR0TJK8,MYND-type domain-containing protein,QM012_008500,372
A0ABR0TJM1,Catalase-peroxidase,katG,757
A0ABR0TJU3,Vesicular-fusion protein SEC18,QM012_008585,785
A0ABR0TK02,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_008648,523
A0ABR0TK17,Periodic tryptophan protein-like protein 2,QM012_008619,889
A0ABR0TKT3,Mitochondrial protein from FMP27-domain-containing protein,QM012_007633,2959
A0ABR0TLB3,Kynurenine formamidase,QM012_008015,328
A0ABR0TLF6,Cyclin-domain-containing protein,QM012_007695,397
A0ABR0TMP9,"Exo-beta-1,3-glucanase",QM012_007343,471
A0ABR0TN66,Zn(2)-C6 fungal-type domain-containing protein,QM012_007414,415
A0ABR0TNT4,Nucleoporin Nup159/Nup146 N-terminal domain-containing protein,QM012_007247,872
A0ABR0TPF9,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase,QM012_006554,223
A0ABR0TPJ8,WW-domain-binding protein,QM012_006436,256
A0ABR0TPP5,Flavin-nucleotide-binding protein,QM012_007498,308
A0ABR0TPU3,Uncharacterized protein,QM012_007527,646
A0ABR0TPV0,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6,QM012_006375,566
A0ABR0TQ76,Enoyl reductase (ER) domain-containing protein,QM012_007013,323
A0ABR0TQC2,Uncharacterized protein,QM012_005646,477
A0ABR0TQL7,CHCH domain-containing protein,QM012_007022,112
A0ABR0TQR4,MIT domain-containing protein,QM012_005796,1191
A0ABR0TR46,FAD-binding FR-type domain-containing protein,QM012_005936,691
A0ABR0TR69,Glycosyl hydrolase family 13 catalytic domain-containing protein,QM012_006775,594
A0ABR0TR91,Peroxin 22-like protein,QM012_005983,380
A0ABR0TRI2,Protein BIG1,QM012_006045,300
A0ABR0TRT7,SnoaL-like domain-containing protein,QM012_006181,253
A0ABR0TS56,cAMP-dependent protein kinase,QM012_006097,392
A0ABR0TSB2,Aldehyde dehydrogenase domain-containing protein,QM012_006344,494
A0ABR0TSM2,t-SNARE coiled-coil homology domain-containing protein,QM012_004258,357
A0ABR0TSV9,Nuclear architecture-related protein 1,QM012_004360,622
A0ABR0TT21,RRM domain-containing protein,QM012_006068,601
A0ABR0TTH3,Up-regulated during septation protein 1 domain-containing protein,QM012_004201,862
A0ABR0TTV4,SAPS-domain-containing protein,QM012_004566,1114
A0ABR0TTX8,Pentatricopeptide repeat protein,QM012_006303,533
A0ABR0TU09,"Haloacid dehalogenase, type II",QM012_006349,248
A0ABR0TUB7,"4-hydroxybenzoate polyprenyltransferase, mitochondrial",QM012_004486,346
A0ABR0TUY0,Zn(2)-C6 fungal-type domain-containing protein,QM012_004469,760
A0ABR0TV61,Delta(24(24(1)))-sterol reductase,QM012_000243,533
A0ABR0TV96,V-type proton ATPase proteolipid subunit,QM012_004589,160
A0ABR0TVC3,Protein kinase domain-containing protein,QM012_000072,480
A0ABR0TVW6,Uncharacterized protein,QM012_000513,139
A0ABR0TVZ4,FAD-binding domain-containing protein,QM012_004879,456
A0ABR0TWL8,Phospholipid/glycerol acyltransferase domain-containing protein,QM012_000193,735
A0ABR0TXB7,Midasin,QM012_000443,4962
A0ABR0T501,Protein BFR2,QM012_005381,491
A0ABR0T5N8,Alpha/beta hydrolase fold-3 domain-containing protein,QM012_005309,304
A0ABR0T5W6,PH domain-like protein,QM012_005226,410
A0ABR0T615,Peroxisome membrane anchor protein Pex14p N-terminal domain-containing protein,QM012_004966,468
A0ABR0T616,RING-type E3 ubiquitin transferase,QM012_004969,419
A0ABR0T635,Protein YAE1,QM012_005363,211
A0ABR0T6B2,"glucan 1,3-beta-glucosidase",QM012_005384,742
A0ABR0T6J7,Uncharacterized protein,QM012_005025,306
A0ABR0T6X9,TauD/TfdA-like domain-containing protein,QM012_003820,387
A0ABR0T6Y0,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_003829,636
A0ABR0T736,FAD dependent oxidoreductase domain-containing protein,QM012_004042,431
A0ABR0T765,Chromosome transmission fidelity protein 8,QM012_003841,164
A0ABR0T7E3,Rab GDP dissociation inhibitor,QM012_005023,467
A0ABR0T7H0,Heme haloperoxidase family profile domain-containing protein,QM012_003638,243
A0ABR0T887,Beta-lactamase/transpeptidase-like protein,QM012_003867,558
A0ABR0T8B4,Arrestin-like N-terminal domain-containing protein,QM012_003897,756
A0ABR0T8C2,Uncharacterized protein,QM012_003415,84
A0ABR0T8F6,F-box domain-containing protein,QM012_003942,484
A0ABR0T8S4,Uncharacterized protein,QM012_003554,156
A0ABR0T8V5,Zn(2)-C6 fungal-type domain-containing protein,QM012_003584,545
A0ABR0T966,Triosephosphate isomerase,QM012_003761,257
A0ABR0T9V6,Ribonuclease P/MRP protein subunit POP5,QM012_003112,189
A0ABR0TAH6,Protein kinase domain-containing protein,QM012_002774,597
A0ABR0TAJ6,Amidophosphoribosyltransferase,QM012_003129,581
A0ABR0TAU9,"Histone-lysine N-methyltransferase, H3 lysine-36 specific",QM012_002738,954
A0ABR0TB24,Ubiquitin carboxyl-terminal hydrolase,QM012_003243,599
A0ABR0TB88,Maintenance of telomere capping protein 1,QM012_003274,504
A0ABR0TBV3,Uncharacterized protein,QM012_002411,499
A0ABR0TBY4,Metallo-beta-lactamase domain-containing protein,QM012_002857,270
A0ABR0TCD6,"Cytochrome c oxidase assembly protein COX16, mitochondrial",QM012_002282,115
A0ABR0TCP6,Glucanase,QM012_002402,419
A0ABR0TD41,"Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial",QM012_001991,384
A0ABR0TD57,Adenylyl cyclase-associated protein,QM012_002012,556
A0ABR0TDF8,mRNA processing protein,QM012_002461,477
A0ABR0TDQ8,CobW/HypB/UreG nucleotide-binding domain-containing protein,QM012_001315,368
A0ABR0TDR6,Diphthamide biosynthesis protein 4,QM012_001332,161
A0ABR0TDV1,Rxt3-domain-containing protein,QM012_002062,982
A0ABR0TEC7,Glycosyltransferase family 34 protein,QM012_001528,514
A0ABR0TF46,Glucose-6-phosphate 1-epimerase,QM012_000904,316
A0ABR0TGP1,Calcineurin-like phosphoesterase domain-containing protein,QM012_009293,626
A0ABR0TH02,EamA domain-containing protein,QM012_009484,384
A0ABR0TH11,Aminoglycoside phosphotransferase domain-containing protein,QM012_009490,324
A0ABR0TH16,PH domain-containing protein,QM012_001095,575
A0ABR0THC2,DUF7587 domain-containing protein,QM012_001151,335
A0ABR0THC6,Dynactin subunit,QM012_008691,400
A0ABR0THL7,histone deacetylase,QM012_009515,669
A0ABR0THN3,Sorting nexin-4,QM012_008779,466
A0ABR0THP5,alcohol dehydrogenase (NADP(+)),QM012_009545,357
A0ABR0TJE0,S-adenosyl-L-methionine-dependent methyltransferase,QM012_009087,177
A0ABR0TJT6,Methyltransferase domain-containing protein,QM012_008544,576
A0ABR0TK29,PUM-HD domain-containing protein,QM012_009085,1046
A0ABR0TKN3,Cytochrome P450 monooxygenase,QM012_007790,490
A0ABR0TKP4,HAUS augmin-like complex subunit 6 N-terminal domain-containing protein,QM012_007805,798
A0ABR0TKQ3,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_007603,486
A0ABR0TKR6,Zf-CHY-domain-containing protein,QM012_007822,608
A0ABR0TKX3,Small ribosomal subunit protein uS4m,QM012_008432,433
A0ABR0TL13,Uncharacterized protein,QM012_007896,219
A0ABR0TL43,Glycoside hydrolase family 43 protein,QM012_007926,332
A0ABR0TLM0,Cercosporin MFS transporter CTB4,QM012_008073,630
A0ABR0TLR2,Uncharacterized protein,QM012_008162,230
A0ABR0TLV3,non-reducing end alpha-L-arabinofuranosidase,QM012_007076,730
A0ABR0TLZ4,serine C-palmitoyltransferase,QM012_007056,514
A0ABR0TM32,Pre-mRNA-splicing factor PRP46,QM012_007991,492
A0ABR0TMB6,N-acetylglucosamine-induced protein 1,QM012_007829,213
A0ABR0TMH4,Zinc finger PHD-type domain-containing protein,QM012_007280,567
A0ABR0TMS1,Apple domain-containing protein,QM012_007370,291
A0ABR0TMX6,dihydrolipoyllysine-residue succinyltransferase,QM012_007435,471
A0ABR0TNF4,Uncharacterized protein,QM012_007584,202
A0ABR0TNF8,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_007396,551
A0ABR0TP31,DUF1295-domain-containing protein,QM012_006605,354
A0ABR0TPA1,Uncharacterized protein,QM012_007412,255
A0ABR0TQ19,Alpha/beta-hydrolase,QM012_006952,1031
A0ABR0TQA6,DNA replication regulator Sld3 C-terminal domain-containing protein,QM012_007025,907
A0ABR0TQG9,Conidiation protein 6,QM012_005700,95
A0ABR0TQH9,Fructose-bisphosphate aldolase,QM012_006551,359
A0ABR0TQI3,Glutaredoxin-like protein,QM012_006929,116
A0ABR0TQJ8,Aminotransferase class I/classII large domain-containing protein,QM012_006566,672
A0ABR0TQN7,Uncharacterized protein,QM012_006826,165
A0ABR0TQS4,Uncharacterized protein,QM012_005792,149
A0ABR0TQT8,Transmembrane protein UsgS,QM012_005695,370
A0ABR0TRL1,Uncharacterized protein,QM012_005902,892
A0ABR0TS17,Glycosyltransferase family 20 protein,QM012_005673,925
A0ABR0TS60,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_005994,570
A0ABR0TS68,Uncharacterized protein,QM012_006287,177
A0ABR0TSU0,Cytochrome c oxidase assembly protein,QM012_006170,78
A0ABR0TT11,HCNGP-domain-containing protein,QM012_006018,250
A0ABR0TT87,Uncharacterized protein,QM012_006094,668
A0ABR0TTM1,P-loop containing nucleoside triphosphate hydrolase protein,QM012_004246,1148
A0ABR0TTZ9,Uncharacterized protein,QM012_004792,402
A0ABR0TU01,"Iron-sulfur cluster biogenesis chaperone, mitochondrial",QM012_004611,670
A0ABR0TU51,Tubulin gamma chain,QM012_004184,466
A0ABR0TUT7,Calcium channel YVC1-like C-terminal transmembrane domain-containing protein,QM012_004803,271
A0ABR0TV30,RING-type domain-containing protein,QM012_000244,738
A0ABR0TV80,Zn(2)-C6 fungal-type domain-containing protein,QM012_004574,902
A0ABR0TVY8,Altered inheritance of mitochondria protein 11,AIM11,233
A0ABR0TW06,Probable electron transfer flavoprotein subunit beta,QM012_000562,253
A0ABR0TW59,Uncharacterized protein,QM012_000602,339
A0ABR0TW86,SIN1-domain-containing protein,QM012_000069,1179
A0ABR0TWG1,D-lactate dehydratase,QM012_000133,252
A0ABR0TX16,Ribosomal eL28/Mak16 domain-containing protein,QM012_000308,155
A0ABR0T4D1,Cysteine-rich transmembrane CYSTM domain-containing protein,QM012_005620,77
A0ABR0T587,Large ribosomal subunit protein uL15,QM012_005252,150
A0ABR0T5I2,Amidase domain-containing protein,QM012_005625,535
A0ABR0T5Q1,Peptidase M43 pregnancy-associated plasma-A domain-containing protein,QM012_005500,302
A0ABR0T5R9,F-box domain-containing protein,QM012_005554,444
A0ABR0T654,DUF1749-domain-containing protein,QM012_005225,314
A0ABR0T6N7,Uncharacterized protein,QM012_004080,366
A0ABR0T6X6,"Alpha-1,4 glucan phosphorylase",QM012_004945,885
A0ABR0T6Z9,Enoyl reductase (ER) domain-containing protein,QM012_005112,348
A0ABR0T776,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_003919,506
A0ABR0T7H1,C2H2-type domain-containing protein,QM012_005033,321
A0ABR0T7I5,PLP-dependent transferase,QM012_005068,114
A0ABR0T7K0,Uncharacterized protein,QM012_003664,41
A0ABR0T882,DNA replication licensing factor MCM4,QM012_003371,1000
A0ABR0T8A5,alanine--glyoxylate transaminase,QM012_003720,442
A0ABR0T8C8,Uncharacterized protein,QM012_003416,96
A0ABR0T8R0,ER-bound oxygenase mpaB/mpaB'/Rubber oxygenase catalytic domain-containing protein,QM012_003550,402
A0ABR0T8T6,RRM domain-containing protein,QM012_003573,230
A0ABR0T8T8,Delta 8-(E)-sphingolipid desaturase,QM012_003519,526
A0ABR0T934,Glycosyltransferase family 2 protein,QM012_003731,990
A0ABR0T989,DNL-type domain-containing protein,QM012_003529,177
A0ABR0T9E2,Uncharacterized protein,QM012_003131,151
A0ABR0T9F0,Uncharacterized protein,QM012_003467,225
A0ABR0TAH7,Chitin synthase,QM012_002769,896
A0ABR0TAZ4,DUF7702 domain-containing protein,QM012_002952,263
A0ABR0TAZ7,rRNA biogenesis protein RRP36,QM012_002735,332
A0ABR0TB63,phenylalanine--tRNA ligase,QM012_002172,536
A0ABR0TB75,Protein kinase domain-containing protein,QM012_002189,648
A0ABR0TBI4,G protein gamma domain-containing protein,QM012_002930,839
A0ABR0TBJ3,NADP-dependent oxidoreductase domain-containing protein,QM012_002152,327
A0ABR0TBW0,Uncharacterized protein,QM012_002379,48
A0ABR0TC59,GH16 domain-containing protein,QM012_002528,342
A0ABR0TCQ3,Prefoldin subunit 6,QM012_002206,143
A0ABR0TCT2,Autophagy-related protein,QM012_002236,530
A0ABR0TD80,Pyrimidine 5-nucleotidase,QM012_002022,228
A0ABR0TDI3,"alpha,alpha-trehalase",QM012_001241,1232
A0ABR0TDJ5,Inosine triphosphate pyrophosphatase,QM012_001259,186
A0ABR0TDL4,dipeptidyl-peptidase IV,QM012_001272,897
A0ABR0TDN7,NADH:flavin oxidoreductase/NADH oxidase N-terminal domain-containing protein,QM012_001301,388
A0ABR0TDQ3,Calcipressin,QM012_001733,274
A0ABR0TEW7,Oxidase cueO,QM012_000804,635
A0ABR0TFB1,PNPLA domain-containing protein,QM012_000965,577
A0ABR0TFF6,NAD(P)-binding protein,QM012_001410,272
A0ABR0TFM4,Pal1-domain-containing protein,QM012_001471,474
A0ABR0TFR3,RING-type E3 ubiquitin transferase,QM012_001118,814
A0ABR0TFZ6,Phosphoenolpyruvate carboxykinase (ATP),QM012_000882,597
A0ABR0TGW4,CDC45-like protein,QM012_001126,899
A0ABR0THD3,SGNH hydrolase-type esterase domain-containing protein,QM012_009303,267
A0ABR0THH7,Uncharacterized protein,QM012_008737,1519
A0ABR0THH8,Cytochrome b561 domain-containing protein,QM012_009186,364
A0ABR0THK7,Uncharacterized protein,QM012_009167,457
A0ABR0TI29,RBR-type E3 ubiquitin transferase,QM012_008852,607
A0ABR0TI50,"endo-1,3(4)-beta-glucanase",QM012_008973,1520
A0ABR0TIC1,Uncharacterized protein,QM012_009007,1118
A0ABR0TIK0,4-nitrophenylphosphatase,QM012_008817,302
A0ABR0TIL5,Histidine kinase HHK12p,QM012_008832,899
A0ABR0TIM3,Tyrosine specific protein phosphatases domain-containing protein,QM012_009591,612
A0ABR0TJ12,Zn(2)-C6 fungal-type domain-containing protein,QM012_008300,936
A0ABR0TJF2,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_008391,512
A0ABR0TJQ4,Uncharacterized protein,QM012_008542,191
A0ABR0TJX7,Uncharacterized protein,QM012_008253,161
A0ABR0TKH9,Rrp15p-domain-containing protein,QM012_008248,329
A0ABR0TKJ0,Uncharacterized protein,QM012_008626,366
A0ABR0TKV8,Cerato-platanin,QM012_007862,225
A0ABR0TKW3,F-box domain-containing protein,QM012_008383,493
A0ABR0TL26,Aminoglycoside phosphotransferase domain-containing protein,QM012_007927,192
A0ABR0TL41,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",QM012_007939,612
A0ABR0TLI5,feruloyl esterase,QM012_007796,794
A0ABR0TLL9,Alpha-galactosidase,QM012_008652,552
A0ABR0TLN8,BTB domain-containing protein,QM012_007948,216
A0ABR0TM33,Mitochondrial carrier,QM012_007134,307
A0ABR0TMA3,EamA domain-containing protein,QM012_007207,387
A0ABR0TMG0,Glutamine amidotransferase type-2 domain-containing protein,QM012_008055,543
A0ABR0TMI5,Cysteine proteinase,QM012_007884,555
A0ABR0TMJ0,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_007290,486
A0ABR0TMQ2,"2, 3 cyclic phosphodiesterase",QM012_007994,215
A0ABR0TMS0,Linoleate diol synthase,QM012_007372,1063
A0ABR0TN31,D-isomer specific 2-hydroxyacid dehydrogenase NAD-binding domain-containing protein,QM012_007158,361
A0ABR0TNE2,Citron like protein,QM012_007063,1233
A0ABR0TNT7,Ribosomal RNA-processing protein 42,QM012_006533,353
A0ABR0TNY1,GDP-mannose transporter,QM012_006577,380
A0ABR0TPV2,SH3 domain-containing protein,QM012_006541,594
A0ABR0TQ85,Pre-mRNA splicing factor CLF1,QM012_006999,966
A0ABR0TR11,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_006715,666
A0ABR0TR65,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_006840,498
A0ABR0TSD3,Uncharacterized protein,QM012_006220,290
A0ABR0TSM6,Clathrin light chain,QM012_005933,244
A0ABR0TT02,F-box domain-containing protein,QM012_004392,288
A0ABR0TT97,Uncharacterized protein,QM012_006320,89
A0ABR0TTB2,C2H2-type domain-containing protein,QM012_004278,279
A0ABR0TTG1,Protein transport protein SFT2,QM012_004511,218
A0ABR0TTQ8,Cryptic loci regulator 2 N-terminal domain-containing protein,QM012_004658,147
A0ABR0TU67,DUF221-domain-containing protein,QM012_004441,881
A0ABR0TUY3,F-box domain-containing protein,QM012_000211,261
A0ABR0TVE5,CID domain-containing protein,QM012_000102,357
A0ABR0TVM2,nitrilase,QM012_000177,320
A0ABR0TWC6,WSC domain-containing protein,QM012_000682,716
A0ABR0TWK9,VASt domain-containing protein,QM012_000370,1198
A0ABR0TWR3,FAD-binding domain-containing protein,QM012_000188,477
A0ABR0TXF9,Uncharacterized protein,QM012_000503,125
A0ABR0T4D6,Uncharacterized protein,QM012_005621,160
A0ABR0T4U8,N-acetyltransferase domain-containing protein,QM012_005356,263
A0ABR0T566,Uncharacterized protein,QM012_005265,177
A0ABR0T5J5,Glyceraldehyde-3-phosphate dehydrogenase,QM012_005590,336
A0ABR0T5K1,AA9 family lytic polysaccharide monooxygenase,QM012_005517,352
A0ABR0T5X8,Uncharacterized protein,QM012_005521,210
A0ABR0T632,Threonine dehydratase,QM012_004940,565
A0ABR0T664,PHD-type domain-containing protein,QM012_005115,500
A0ABR0T6A0,Uncharacterized protein,QM012_005058,97
A0ABR0T6F4,Protein phosphatase,QM012_004001,367
A0ABR0T799,Myotubularin phosphatase domain-containing protein,QM012_003950,777
A0ABR0T7H6,RING-type domain-containing protein,QM012_003899,1453
A0ABR0T7N5,C2H2-type domain-containing protein,QM012_003881,181
A0ABR0T7T2,"homogentisate 1,2-dioxygenase",QM012_004145,516
A0ABR0T879,SprT-like domain-containing protein,QM012_003373,491
A0ABR0T893,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_003783,495
A0ABR0T8B8,Only prolin and serin are matching in the corresponding protein,QM012_003598,548
A0ABR0T8P8,Asl1-like glycosyl hydrolase catalytic domain-containing protein,QM012_003536,494
A0ABR0T909,Uncharacterized protein,QM012_003454,1091
A0ABR0T925,Uncharacterized protein,QM012_003021,195
A0ABR0T952,"Cytochrome b-c1 complex subunit Rieske, mitochondrial",QM012_003047,289
A0ABR0T9H3,Uncharacterized protein,QM012_003161,202
A0ABR0T9M7,Arrestin C-terminal-like domain-containing protein,QM012_003022,402
A0ABR0TAU6,Choline transport protein,QM012_003234,531
A0ABR0TB31,Aminoglycoside phosphotransferase domain-containing protein,QM012_002141,298
A0ABR0TB96,Rab-GAP TBC domain-containing protein,QM012_002586,1171
A0ABR0TBG2,Translation machinery associated TMA7,QM012_002244,68
A0ABR0TBZ3,Capsule polysaccharide biosynthesis protein,QM012_002777,367
A0ABR0TC09,ACT domain-containing protein,QM012_002472,285
A0ABR0TC20,Uncharacterized protein,QM012_002478,770
A0ABR0TCJ1,N-acetyltransferase domain-containing protein,QM012_002464,260
A0ABR0TCM6,DUF7702 domain-containing protein,QM012_002175,275
A0ABR0TD11,Small ribosomal subunit protein mS29,QM012_001967,476
A0ABR0TD79,Small ribosomal subunit protein uS10m,QM012_002481,279
A0ABR0TD82,Bms1-type G domain-containing protein,QM012_001885,824
A0ABR0TDE0,Uncharacterized protein,QM012_001689,161
A0ABR0TDN3,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001794,501
A0ABR0TDZ3,GATA-type domain-containing protein,QM012_001788,415
A0ABR0TE04,Uncharacterized protein,QM012_001914,449
A0ABR0TEN3,Benzoate 4-monooxygenase bphA,QM012_001367,506
A0ABR0TF20,NADP-dependent mannitol dehydrogenase,QM012_000868,347
A0ABR0TF34,BTB domain-containing protein,QM012_001290,178
A0ABR0TFI1,GPI transamidase component PIG-S,QM012_001038,556
A0ABR0TG18,Methyltransferase LaeA,QM012_001606,290
A0ABR0TGN1,Expansin-like EG45 domain-containing protein,QM012_009358,170
A0ABR0THA4,Uncharacterized protein,QM012_001185,76
A0ABR0THC1,Yos1-like protein,QM012_008688,86
A0ABR0THD0,MARVEL domain-containing protein,QM012_009518,199
A0ABR0THR8,Uncharacterized protein,QM012_008833,501
A0ABR0THZ1,chitin synthase,QM012_008913,1192
A0ABR0TI69,BHLH domain-containing protein,QM012_008804,275
A0ABR0TI78,Uncharacterized protein,QM012_009391,220
A0ABR0TIQ1,Uncharacterized protein,QM012_009127,384
A0ABR0TIY1,DHHA2 domain-containing protein,QM012_008250,426
A0ABR0TJ58,t-SNARE coiled-coil homology domain-containing protein,QM012_008325,361
A0ABR0TJ84,2-methylcitrate dehydratase PrpD,QM012_009149,464
A0ABR0TJF3,FYVE-type domain-containing protein,QM012_008437,656
A0ABR0TJP8,NAD(P)-binding protein,QM012_009151,301
A0ABR0TJU4,Amidase domain-containing protein,QM012_008588,584
A0ABR0TK85,Protein phosphatase inhibitor 2,QM012_008614,263
A0ABR0TK98,Quinate repressor protein,QM012_008172,864
A0ABR0TKR4,Cytochrome protein,QM012_007819,520
A0ABR0TLF1,GOLD domain-containing protein,QM012_008047,216
A0ABR0TM81,Guanine deaminase,QM012_007193,469
A0ABR0TMK4,STAS domain-containing protein,QM012_007305,826
A0ABR0TMM6,"Glycosylphosphatidylinositol:protein transamidase, GAA1 component",QM012_007141,700
A0ABR0TN44,Uncharacterized protein,QM012_008110,322
A0ABR0TN50,Serine hydroxymethyltransferase,QM012_007510,473
A0ABR0TNC4,Rab-GAP TBC domain-containing protein,QM012_007304,337
A0ABR0TNG1,PXA domain-containing protein,QM012_006384,435
A0ABR0TNU6,Mitochondrial phosphate carrier protein,QM012_006519,79
A0ABR0TNU7,Metal homeostatis protein bsd2,QM012_007454,349
A0ABR0TP73,Transcription initiation factor TFIID subunit 2,QM012_007333,1524
A0ABR0TPC8,JmjC domain-containing protein,QM012_006695,339
A0ABR0TPF0,Uncharacterized protein,QM012_006743,501
A0ABR0TPI4,Importin subunit alpha,QM012_006759,550
A0ABR0TPN4,Proteasome activator subunit 4,QM012_006786,1979
A0ABR0TPW7,Arabinanase/levansucrase/invertase,QM012_006556,357
A0ABR0TQ03,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_006371,559
A0ABR0TQS2,L domain-like protein,QM012_005680,525
A0ABR0TR18,alcohol dehydrogenase (NADP(+)),QM012_006957,357
A0ABR0TR89,3-phytase,QM012_006790,588
A0ABR0TRF7,DUF676 domain-containing protein,QM012_005905,464
A0ABR0TRW4,Coatomer subunit alpha,QM012_005629,1221
A0ABR0TS57,Integral membrane protein,QM012_006298,145
A0ABR0TSA2,Uncharacterized protein,QM012_006327,77
A0ABR0TSB3,Dopey N-terminal domain-containing protein,QM012_006358,1832
A0ABR0TSR3,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_004315,512
A0ABR0TT32,"3-carboxy-cis,cis-mucoante lactonizing enzyme",QM012_004435,362
A0ABR0TT73,Cutinase,QM012_004233,797
A0ABR0TTD0,Sequence orphan,QM012_004235,292
A0ABR0TTG0,NADP-dependent oxidoreductase domain-containing protein,QM012_004558,353
A0ABR0TTV5,DUF1593-domain-containing protein,QM012_004667,492
A0ABR0TTX4,mRNA 3'-end-processing protein RNA14,QM012_006353,964
A0ABR0TU71,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_004520,766
A0ABR0TUB5,"Arabinogalactan endo-beta-1,4-galactanase",QM012_004294,352
A0ABR0TUC2,proline--tRNA ligase,QM012_004872,567
A0ABR0TV86,Uncharacterized protein,QM012_000135,428
A0ABR0TVI8,SPX domain-containing protein,QM012_004714,814
A0ABR0TWN4,Maltose/galactoside acetyltransferase domain-containing protein,QM012_000680,230
A0ABR0T4P4,Uncharacterized protein,QM012_005529,201
A0ABR0T4V7,4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase,QM012_005433,355
A0ABR0T586,Peptidase A1 domain-containing protein,QM012_005504,476
A0ABR0T686,Kinase-like protein,QM012_005047,293
A0ABR0T6C9,Uncharacterized protein,QM012_005076,216
A0ABR0T6X3,RNB domain-containing protein,QM012_003830,1059
A0ABR0T7C5,YTH domain-containing protein,QM012_003901,624
A0ABR0T7F6,ATPase synthesis protein 25,QM012_003621,671
A0ABR0T7Q7,G-protein coupled receptors family 1 profile domain-containing protein,QM012_005049,415
A0ABR0T7Z0,Eukaryotic translation initiation factor 3 subunit B,PRT1,740
A0ABR0T815,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_003310,526
A0ABR0T874,RNA polymerase II transcription factor SIII subunit A,QM012_003368,321
A0ABR0T8K8,Uncharacterized protein,QM012_003688,88
A0ABR0T8Q5,NFACT RNA-binding domain-containing protein,QM012_003548,213
A0ABR0T8Y8,peptidylprolyl isomerase,QM012_003692,388
A0ABR0T921,HIT-type domain-containing protein,QM012_003017,415
A0ABR0T9G3,NECAP PHear domain-containing protein,QM012_003165,278
A0ABR0TA89,RTA1 like protein,QM012_002683,156
A0ABR0TAB7,PH domain-containing protein,QM012_002713,416
A0ABR0TAI3,NAD(P)H-hydrate epimerase,QM012_002773,232
A0ABR0TAQ2,Uncharacterized protein,QM012_003109,433
A0ABR0TAR1,Ferrioxamine B transporter,QM012_002864,613
A0ABR0TAR5,Phospholipid-transporting ATPase,QM012_003138,1567
A0ABR0TAR9,F-box domain-containing protein,QM012_002708,559
A0ABR0TAT9,U3 small nucleolar RNA-associated protein 15 C-terminal domain-containing protein,QM012_002895,537
A0ABR0TB33,Cupin type-1 domain-containing protein,QM012_002658,507
A0ABR0TB62,NmrA-like domain-containing protein,QM012_002174,319
A0ABR0TB89,N-acetyltransferase domain-containing protein,QM012_002200,245
A0ABR0TBJ6,Calcium permease family membrane transporter,QM012_002306,1171
A0ABR0TC62,Importin N-terminal domain-containing protein,QM012_002207,1103
A0ABR0TCG8,UmuC domain-containing protein,QM012_001781,625
A0ABR0TCS4,Protein sip5,QM012_002301,836
A0ABR0TCV2,Glucose-methanol-choline oxidoreductase N-terminal domain-containing protein,QM012_002331,542
A0ABR0TD08,Uncharacterized protein,QM012_002295,295
A0ABR0TD30,phosphoinositide 5-phosphatase,QM012_001980,1224
A0ABR0TD34,Uncharacterized protein,QM012_001685,410
A0ABR0TDA7,GIT Spa2 homology (SHD) domain-containing protein,QM012_001760,774
A0ABR0TDD0,Putative phospholipase,QM012_002431,489
A0ABR0TDJ0,Adenylate kinase isoenzyme 6 homolog,QM012_001258,174
A0ABR0TDZ1,Matrin-type domain-containing protein,QM012_001394,233
A0ABR0TE19,DUF2423 domain-containing protein,QM012_001423,230
