UniProt_accession,AlphaFold_model,pLDDT
B8MKZ2,True,91.19
Q4WS70,True,82.19
Q9X1Q0,True,96.75
P38989,True,85.44
Q9P7S2,True,82.5
Q0UY45,True,86.31
P23833,True,77.44
Q4I8S2,True,74.5
B0Y0I4,True,95.06
Q8ZPP5,True,74.81
Q4WMU5,True,80.56
Q7S906,True,79.12
O74968,True,81.44
P31413,True,90.69
G4MY67,True,86.31
P0C149,True,81.0
O14139,True,70.62
O59718,True,64.12
O60079,True,77.0
Q9C4M5,True,97.38
P32857,True,79.38
Q4WYX0,True,88.25
P41767,True,85.31
Q0U1G2,True,69.19
A0A1J0HSL8,True,75.5
Q9UT20,True,85.88
O14435,True,94.56
P0C197,True,65.81
G2XBG0,True,52.28
O74561,True,54.66
Q9P3K8,True,78.5
O59813,True,84.69
P56286,True,81.19
Q9P381,True,83.38
P07286,True,90.25
Q10099,True,89.12
Q9Y7G5,True,93.62
Q4WF56,True,94.12
Q4HZB8,True,97.06
A0A455LJ99,True,60.03
Q8K1Z0,True,78.62
P38156,True,78.19
Q01336,True,96.31
Q03649,True,92.19
Q9C0Y2,True,59.84
Q9HDX3,True,91.62
Q5BFG8,True,95.38
G4MYD3,True,63.66
B0Y6R2,True,89.44
P49731,True,73.19
P40468,True,71.94
L7WU90,True,86.5
O13773,True,64.38
B8NP78,True,94.69
P51979,True,72.81
D4AZ24,True,82.5
Q0C9E6,True,68.19
O14253,True,86.56
P08466,True,84.81
P07921,True,78.94
O60044,True,87.94
P41925,True,90.69
J4VWM7,True,94.38
P00440,True,84.88
Q4WT34,True,81.62
Q23917,True,72.12
Q9UTI5,True,94.56
O74854,True,75.75
Q4WHZ1,True,76.31
O74965,True,84.0
Q7SA60,True,78.0
P0CT41,True,69.88
G0S024,True,73.69
Q9USY1,True,85.69
Q9P6L7,True,82.44
Q9NRW7,True,90.56
Q4WZB4,True,80.75
Q4I073,True,93.12
G4N4D6,True,81.44
P87159,True,54.19
A6RIB9,True,68.88
O13880,True,77.69
Q04835,True,75.56
Q7SH52,True,89.94
C0HMA2,True,96.06
Q9I4V0,True,96.56
Q9US46,True,87.62
P49365,True,96.94
P50166,True,95.5
Q0UIG9,True,86.75
Q4W9I3,True,94.38
Q9UT86,True,86.5
P36586,True,88.69
Q0TXG3,True,94.88
Q9P6P8,True,77.75
A2QTU0,True,85.19
P48777,True,83.81
A0A223HDH4,True,96.44
Q9UI26,True,93.44
Q9P774,True,69.62
P78615,True,87.0
Q7ZXH7,True,92.19
A0A1U8QP15,True,94.38
Q1K730,True,69.06
H8WR05,True,97.38
B0XNL6,True,92.38
Q12166,True,91.31
G2X8Y4,True,88.94
Q0V0I4,True,72.81
A0A1B1JE71,True,81.56
Q9CZJ2,True,82.81
A0A166Z003,True,83.69
Q9F8D7,True,81.38
Q9FT70,True,67.0
Q750A5,True,89.31
Q875R9,True,92.69
P40896,True,94.38
O13492,True,88.81
Q893M2,True,96.62
A7EI75,True,87.69
Q09752,True,85.25
G0REX8,True,88.44
O14041,True,92.5
O60153,True,66.62
P11913,True,90.25
P39729,True,84.94
P87174,True,72.5
O14417,True,89.44
P38090,True,80.81
Q9P787,True,73.56
P42251,True,93.44
E9CXX8,True,93.25
O74465,True,80.25
P0CT33,True,51.69
Q9FN94,True,84.56
Q9RBP5,True,97.06
P0CS18,True,89.62
P40514,True,87.75
Q5BD67,True,87.75
O14048,True,74.25
Q54YZ9,True,64.25
O94520,True,75.19
A0A8J9WH54,True,81.0
A5DN78,True,88.0
Q8NJ73,True,91.56
A0A067XMP1,True,95.81
V5XYQ7,True,81.56
Q8TG90,True,94.38
Q12644,True,84.19
P0CJ44,True,93.56
Q5BDX1,True,85.19
P53389,True,81.44
A0A348AXX5,True,95.25
Q9HGM4,True,91.38
Q09855,True,84.0
P0CH63,True,98.56
Q5K8R6,True,87.19
Q05506,True,91.69
P41410,True,73.44
Q9UNK0,True,76.31
H1V216,True,77.75
P26659,True,86.5
Q92KZ3,True,98.25
B6V867,True,90.81
A1CZ92,True,89.5
Q9X248,True,97.44
G2XHN6,True,49.75
Q01971,True,87.94
P0CL19,True,96.06
Q8BMA6,True,78.44
Q9P6J0,True,86.31
O74396,True,71.0
A0A3G9K5C8,True,92.75
Q54WR5,True,70.5
O43301,True,84.31
Q07442,True,68.44
Q12000,True,76.25
P55906,True,89.75
P39956,True,64.69
V5NZC3,True,95.62
P87017,True,89.0
O00625,True,96.94
P34729,True,90.44
Q9UU86,True,80.31
A7E835,True,51.91
Q9UTN6,True,74.44
Q9UUI8,True,76.38
Q5B5B0,True,58.28
P22152,True,86.12
D4AV26,True,93.88
P49148,True,72.5
P9WEE9,False,
O59790,True,79.44
Q68CJ6,True,78.25
A9NIV5,True,75.94
Q0UN56,True,79.75
P9WEG4,True,92.06
A0A3G1DJE2,True,82.75
P46333,True,86.94
P30236,True,75.19
P20261,True,96.56
P34209,True,94.25
A0A2L0P0K0,True,77.69
P9WF00,True,71.31
Q4WQN1,True,88.62
G0S7R3,True,55.34
Q5UP73,False,
Q9HFC7,True,72.0
Q12200,True,85.44
P47075,True,81.19
O94242,True,89.88
C0SPB2,True,86.56
O18498,True,82.06
Q99173,True,68.44
A0A2I2F2K7,True,94.75
O74959,True,88.19
Q9LSS7,True,92.5
P25443,True,88.62
P46882,True,97.06
Q4R6H1,True,88.94
Q0U822,True,68.94
A0A0A2IBP6,True,83.88
G0S920,True,69.88
P40971,True,68.81
P47154,True,92.5
Q9UUE2,True,79.19
O74628,True,95.19
C8VBV0,True,90.38
W7L9E5,True,90.81
A0A1L9WLD5,True,54.25
P0CX23,True,93.88
Q11120,True,91.19
Q10335,True,79.56
J5JC21,True,95.69
Q8T9S7,True,70.25
P36150,True,79.81
Q4WD48,True,88.44
O74814,True,73.25
Q9USP6,True,74.06
P11837,True,65.62
Q56128,True,76.75
Q10183,True,76.06
E5AE42,True,95.5
P9WET4,True,84.31
Q24537,True,71.31
P32795,True,77.94
Q7SF81,True,87.19
Q9USY7,True,75.44
Q50LG0,True,90.0
O60508,True,85.81
Q06466,True,80.69
Q9P6I8,True,93.0
A6SDU6,True,88.0
P38318,True,83.31
Q03441,True,75.62
Q09415,True,94.0
P22134,True,88.31
Q503U1,True,92.81
Q4H425,True,84.25
Q5AQL1,True,90.69
Q90941,True,73.69
Q9UUB5,True,73.44
Q6NTW6,True,96.62
A0A1D8PG41,True,67.31
O22785,True,86.62
P39709,True,80.31
W6QTE8,True,93.88
Q8IY18,True,79.44
Q5B5S8,True,96.31
Q8RJP2,True,94.31
A0A1L9X996,True,73.88
Q9LQV2,True,90.31
P39849,True,97.38
W7E8S5,True,93.06
P43535,True,77.62
O42875,True,89.81
P34054,True,84.44
Q9WYG0,True,97.44
Q12017,True,74.94
Q9P7G0,True,76.5
A4D9B0,True,95.25
P80576,True,91.88
A0A1Y1C7S2,True,86.25
P22579,True,62.44
Q7SHB2,True,85.38
G4N525,True,63.06
Q9R6X3,True,87.94
Q4IA56,True,93.31
O74852,True,85.5
P53388,True,81.38
B1ZGR2,True,83.81
Q7ZUW2,True,81.75
Q2UPB0,True,91.25
P07046,True,95.81
J9VX18,True,82.44
Q8Z0C8,True,96.31
Q8XA81,True,92.19
P25377,True,97.12
W7MAD3,True,93.81
O13339,True,81.12
O14354,True,75.88
Q7S7F1,True,86.19
B0XXL3,True,74.25
Q05530,True,88.94
Q1QUJ4,True,97.25
A7EB95,True,73.31
Q09682,True,92.94
Q4WJ90,True,93.31
A1DC16,True,94.31
Q9Y7N9,True,72.56
Q1MTN9,True,66.94
D4B2W4,True,91.56
Q9Y7M6,True,92.12
Q12463,True,92.56
A2R7P5,True,52.94
Q7SGT7,True,91.88
Q23256,True,72.06
Q28D01,True,83.19
Q8GXS3,True,95.62
Q30DW8,True,92.75
G0S6T0,True,89.56
P49374,True,80.81
Q00313,True,82.69
A0A455ZIM6,True,83.31
Q03114,True,91.38
C8V329,True,88.56
Q10153,True,85.19
O13731,True,75.25
M3APK9,True,95.94
Q2UEK9,True,83.25
G2XBY5,True,87.0
B8NPA4,True,96.62
O36033,True,87.88
O13716,True,95.25
Q9USW9,True,81.5
A2BGL3,True,78.31
Q6ZXT2,True,88.06
O94556,True,84.38
O43066,True,55.03
B2AAJ5,True,94.06
P40817,True,96.31
A1CX75,True,82.69
P38219,True,88.38
Q4U3U4,True,87.31
Q9FJD1,True,86.06
B7P877,True,94.75
M2ZIX7,True,90.88
P06834,True,95.88
Q12152,True,57.38
Q5AZC9,True,75.38
A0A384JQC9,True,85.56
O14249,True,84.38
A0A084B9Z0,True,90.94
G3XMB7,True,88.12
M9QUV5,True,95.62
G3XMD1,True,86.12
G2X4M1,True,97.69
O93884,True,96.25
Q9P7T8,True,78.75
A0A411L027,False,
A0A411KZZ8,True,95.88
P20133,True,96.75
Q0UXN8,True,88.69
P28344,True,97.06
P52498,True,83.5
Q7SGY1,True,92.25
P38347,True,83.5
Q753H5,True,91.06
O14328,True,68.81
B2AWZ9,True,95.31
Q9HFW2,True,65.94
Q9URU6,True,88.69
Q50568,True,97.56
Q08912,True,86.19
P45517,True,98.25
Q94KD8,True,94.19
A0A242M8J4,True,94.94
Q9C0Z0,True,85.81
P17549,True,94.19
O93918,True,89.5
O94695,True,73.31
P54353,True,85.44
Q877B9,True,89.75
Q4WHY8,True,67.31
O33680,True,96.81
P11353,True,93.44
Q9C5E7,True,57.97
Q54YH4,True,46.28
A0A1D8PNZ7,True,76.81
P37967,True,96.12
D4AK18,True,93.88
P38925,True,74.62
Q5B323,True,73.81
P43567,True,96.44
G4MZY8,True,85.38
Q4WTL5,True,94.31
A0A348HAX9,True,77.0
Q9P370,True,81.69
A5ABF5,True,95.0
Q1D752,True,95.31
A5UMN6,True,97.19
Q9UU99,True,54.47
A0A1L9WLF2,True,74.69
Q9LIF4,True,91.56
A0A411KUQ2,True,84.12
Q8MI29,True,98.0
Q1LSE1,True,96.56
Q7S2H6,True,78.81
A0A411KUU5,True,95.12
Q17RB8,True,72.38
G1UJF5,True,80.81
O94751,True,64.31
Q4WYP6,True,80.12
Q4WHT8,True,97.19
Q09853,True,73.81
O14241,True,92.81
D4AQA7,True,89.06
Q12486,True,93.19
G0SF70,True,95.38
P33192,True,93.25
Q10178,True,76.69
G1XTZ9,True,86.94
P32873,True,60.53
P24590,True,96.44
Q4ING3,True,84.69
Q4X212,False,
A0A8F4PNE5,True,82.0
Q4WQ60,True,68.56
A0A1D8PK89,True,85.38
Q2UDB2,True,88.56
Q0UG82,True,64.25
A5ABV9,True,56.06
P87235,True,78.62
P49776,True,83.56
Q8TFH1,True,91.81
C8V7U7,True,88.94
Q9URY4,True,92.19
Q4WMW2,True,69.5
B3H615,True,74.5
Q9P7B0,True,63.88
O60158,True,67.56
Q0CSA1,True,93.56
A0AAN4PAE6,True,91.12
Q608B0,True,96.88
Q8GXR2,True,86.0
Q9D099,True,93.06
O88554,True,84.06
B8NWW6,True,93.5
Q5BB40,True,87.12
O00103,True,88.25
Q8JZV7,True,94.88
O43011,True,86.06
E9R5G2,True,93.25
Q96UM2,True,95.75
Q8WZJ7,True,94.5
P0DUR7,True,95.31
Q9UU90,True,90.25
Q08726,True,83.38
Q4WN99,True,76.88
A7EAY2,True,70.19
P87230,True,85.12
A6RMY5,True,79.0
Q04225,True,83.12
Q7SBD5,True,94.12
D4AXV8,True,85.88
G2X5A0,True,78.25
G2XJK5,True,48.25
A0A068A9T3,True,57.25
Q568K5,True,92.06
A0A1D8PNF7,True,72.62
Q02981,True,78.75
Q4WWZ9,True,73.31
Q0UV95,True,87.94
A0A1L9X9G5,True,95.06
P47950,True,77.5
Q2UNA2,True,89.06
P09400,True,92.25
P40506,True,88.94
Q05933,True,90.38
J9N5P9,True,73.25
G2WUC4,True,66.31
O14299,True,66.25
Q4WQF3,True,74.62
O94710,True,86.81
D4B0V1,True,87.81
O82645,True,66.75
P0C7N6,True,85.62
P83783,True,96.75
Q5HIG2,True,96.56
P21367,True,97.62
O43000,True,83.25
Q25BW5,True,97.81
O94528,True,87.31
Q0D135,True,87.06
F4IY03,True,91.38
P38805,True,89.06
Q9UU82,True,85.0
A0A3G9JYJ6,True,88.62
Q7ZXB8,True,67.88
Q1K8T6,True,80.94
Q10160,True,86.88
Q6C5G0,True,60.44
A0A1L9WUM2,True,94.62
C8V1D1,True,94.88
O35459,True,88.5
Q4WBW4,True,88.94
O13900,True,69.69
P53131,True,91.19
Q9C167,True,81.31
Q74ZA9,True,89.44
Q0V786,True,83.62
Q0CSA2,True,82.06
Q5B467,True,92.75
Q9P7C6,True,83.88
A2RI97,True,90.5
Q9UT36,True,97.69
O14334,True,92.75
U3H042,True,82.19
P87141,True,81.0
P06809,True,80.81
Q9NWF9,True,62.59
Q12126,True,85.44
O74184,True,93.5
B0BNF9,True,96.69
Q4WWW3,True,80.69
Q2UPZ7,True,93.75
Q94A38,True,63.62
P19968,True,84.5
O59763,True,63.47
Q92359,True,62.47
O74803,True,70.75
Q5AYH4,True,82.0
A6WXV2,True,95.94
Q0D0F3,True,90.0
Q12511,True,77.38
A0A8J9S3B0,True,95.81
Q9UI17,True,94.94
Q10074,True,70.81
Q9Y7R3,True,57.5
Q0CF71,True,87.19
A0A411KZU9,True,60.72
P20486,True,90.88
P34229,True,88.5
Q9USI6,True,75.38
P38116,True,92.94
S0E028,True,70.06
O74771,True,93.19
P41004,True,79.0
Q9WU83,True,85.56
O93980,True,78.06
A2QPM6,True,65.38
Q4WUK7,True,87.81
Q7SDU2,True,82.94
P90994,True,97.94
P28643,True,83.12
A2QC55,True,75.5
Q7SG06,True,96.19
Q6FJ46,True,83.31
Q96TJ5,True,77.56
P25491,True,81.94
P43496,True,95.12
P46967,True,95.75
C8V7C7,True,68.19
Q6UEF0,True,91.5
Q06099,True,97.12
O59729,True,59.88
A0A0E0S0W9,True,86.12
Q9P6P1,True,79.25
P48537,True,87.06
P43124,True,71.88
O60061,True,92.25
Q82P90,True,94.81
Q9UTN9,True,95.12
Q869Z0,True,84.69
Q9US35,True,95.62
Q0CTV2,True,94.75
O93995,True,81.31
Q7RYI0,True,68.5
B0XT72,True,89.94
O14171,True,93.25
C8V3W6,True,78.75
Q9UUF7,True,84.75
Q5B7I6,True,65.56
Q1JQC1,True,88.5
P40010,True,74.94
Q9Y7T1,True,82.0
G0S636,True,63.81
A0A436ZYJ3,True,56.31
Q59WG0,True,97.12
O74841,True,90.69
O13632,True,90.0
A5H0J4,True,94.88
O94437,True,96.62
Q9HG03,True,68.56
Q5C9L6,True,94.94
P50998,True,77.0
Q7K3M5,True,87.88
C8V9Y5,True,89.88
Q4WCY0,True,70.88
G2X1C7,True,48.84
D7PI13,True,79.31
Q91Y86,True,87.19
P41747,True,96.62
O42626,True,64.38
E9EPV1,True,59.94
A1CFY8,True,96.5
P23641,True,89.0
A6QR09,True,86.75
Q8CEE7,True,90.0
F4JRR1,True,84.38
P13703,True,95.81
Q00674,True,93.69
M2Y1A3,True,92.69
P07274,True,98.0
Q9QWZ1,True,90.0
A0ST44,True,90.81
Q9US41,True,90.0
Q6X9S4,True,96.81
O48334,True,96.5
Q9SQ57,True,94.75
P38127,True,76.88
P54118,True,97.94
A0A0K0VEZ4,True,89.12
Q4WFS2,True,83.31
P0DXV5,True,91.5
G2WX41,True,83.69
Q58DU0,True,65.75
Q6CHA2,True,77.94
P12685,True,55.72
Q9C757,True,85.12
I1RV21,True,92.44
Q8RX66,True,65.25
O13780,True,81.5
P51656,True,85.88
P63009,True,81.56
Q5AUW7,True,80.44
Q2GV19,True,94.81
I1RB03,True,81.75
P40332,True,96.19
Q59013,True,96.31
P38757,True,65.69
P28370,True,74.75
A0A1U8QFC3,True,94.31
Q4WRQ4,True,76.0
Q01561,True,92.19
A2ARS0,True,60.59
Q54UU2,True,97.06
Q8BFW9,True,74.31
P52893,True,84.94
O13722,True,66.44
Q2UAZ7,True,78.12
O42898,True,92.38
Q96VB6,True,94.81
O13842,True,96.19
Q02751,True,97.25
O74985,True,94.5
A0A384JPP3,True,63.56
Q0U3Y6,True,78.69
L7WRR9,True,95.5
Q6CG53,True,91.19
P31434,True,97.19
G4MYS1,True,89.06
A0A2B7YFS5,True,91.69
A0A1D8PE43,True,65.75
P50304,True,96.5
O94623,True,75.38
Q7RXY1,True,94.31
B8NVB7,True,95.19
Q54ZG7,True,94.12
Q9KHI5,True,71.69
Q7RTV0,True,89.88
O13971,True,72.12
P62877,True,79.25
Q62796,True,65.56
Q4WUR1,True,85.19
Q13367,True,74.88
Q27869,True,95.75
O74957,True,92.0
Q3YSH3,True,92.06
Q9KLK7,True,78.94
E7C196,True,95.56
C5FGX1,True,91.0
P53295,True,84.12
P38680,True,85.62
O14123,True,67.94
Q4P6V4,True,91.69
O51798,True,88.88
Q7SDA6,True,81.75
P0C1B1,True,62.03
G0R6T3,True,92.5
G2X670,True,88.81
Q5AUW8,True,87.81
O14336,True,56.84
A2QC74,True,79.81
A1CQI3,True,89.94
Q54JD9,True,93.12
G2XCL5,True,63.72
Q09738,True,82.31
O59735,True,85.81
G0SEQ5,True,66.81
O13317,True,91.5
A0A2Z4HQ22,True,82.19
C8VK15,True,81.62
Q4I785,True,93.12
Q54GD8,True,92.62
A4D9K7,True,55.12
B8NJG5,True,78.44
P53134,True,81.12
G0S2A3,True,73.19
Q9C3Y4,True,93.44
Q9P5L0,True,75.38
Q03941,True,91.44
G2X321,True,58.44
O60573,True,80.38
A0A0N6WJC7,True,69.5
P0CL20,True,97.5
Q9H446,True,81.69
A7A261,True,64.88
Q4X251,True,81.44
P40113,True,78.94
P39107,True,83.69
O94248,False,
Q6GHK5,True,97.75
P35128,True,95.06
P29429,True,96.12
O94679,True,82.62
Q9P7N2,True,93.12
Q5ARK3,True,59.31
S0DW25,True,78.38
Q54WT7,True,86.0
O14210,True,64.12
P52958,True,68.62
Q9UW21,True,90.06
Q9P8I0,True,95.38
Q9P4R4,True,97.12
Q8TBC4,True,92.88
P32465,True,84.69
P08580,True,91.19
D4B1R0,True,92.94
Q6NN40,True,84.44
Q00619,True,78.19
O94534,True,75.5
P38736,True,85.06
P14002,True,96.19
P77526,True,96.0
B0Y0F3,True,88.38
Q1K8Y7,True,75.12
C8VDQ4,True,70.0
Q0U4Z8,True,62.53
P0C1J0,True,83.25
P9WF02,True,82.56
A0A447CCJ8,True,77.19
Q12265,True,72.31
Q7RXW1,True,93.38
Q5ATG7,True,82.56
Q8R1G2,True,91.56
O13747,True,71.12
Q03722,True,68.44
P27614,True,89.44
Q0UY70,True,87.94
P53918,True,75.5
B0Y8Y4,True,88.44
Q7SGH0,True,95.69
P20772,True,92.81
Q15SS0,True,97.56
Q6DG60,True,82.5
Q4WHB7,True,57.69
G4N2B5,True,76.88
O74339,True,84.5
O13994,True,83.88
Q14191,True,68.62
Q1MTP1,True,84.19
O55029,True,87.19
O60100,True,91.0
G3YG17,True,95.62
Q4WEI5,True,91.31
A0A161CLJ6,True,85.62
O14091,True,82.56
Q9Y7M4,True,90.94
Q6MFS1,True,88.56
G0S0R2,True,79.25
Q4WBL2,True,85.0
Q24168,True,66.94
Q4WLN7,True,82.5
U9W8F2,True,91.62
Q9HFF5,True,85.25
O74797,True,96.31
Q8YSU5,True,91.12
Q4WYE4,True,74.06
C8VJF5,True,87.81
A0A5B9G902,True,47.91
Q7RY78,True,79.44
M2WKH6,True,93.69
Q9P6P5,True,92.56
G1X7C7,True,70.38
Q8WZS6,True,81.31
L7WRR4,True,80.69
P08843,True,96.12
O59936,True,83.19
Q93VM9,True,76.0
B5XGE7,True,92.44
A0A455ZKR7,True,91.31
O94590,True,82.69
Q09707,True,95.88
P59670,True,85.88
O80874,True,86.81
D0C9N6,True,96.56
Q5AK62,True,70.0
Q4HW93,True,64.19
P56739,True,95.31
Q3ZC01,True,91.12
Q06712,True,63.5
Q965Q8,True,90.69
O94323,True,92.81
Q9P3W5,True,79.5
P52809,True,95.31
Q7S518,True,76.75
G4N0Z0,True,88.94
Q5UR67,False,
P43565,True,52.69
Q9UW86,True,95.12
Q0CMA7,True,91.62
Q05924,True,89.62
Q1DCA3,True,97.44
Q4R708,True,89.69
O75011,True,61.69
O74398,True,59.84
O13985,True,79.38
Q9URU2,True,68.75
Q9C9U2,True,75.75
Q5BBX1,True,66.5
Q76LC6,True,67.44
A0A8F4NUC6,True,91.0
P40483,True,91.0
Q9UT08,True,93.31
Q1K8V2,True,88.25
O42903,True,79.06
Q3SZD7,True,97.31
G0SHW7,True,82.0
Q9P5N7,True,73.94
P35127,True,89.19
A0A9P4XV22,True,58.28
O94527,True,63.97
O14142,True,88.25
G0RZB3,True,77.81
Q8NQC8,True,84.94
Q6UEH3,True,87.56
P23542,True,96.94
Q9YH06,True,77.19
A2QJX5,True,70.56
A0A384JQH2,True,93.56
Q7Z991,True,86.5
W7MLD8,True,95.25
P26762,True,80.19
O60121,True,80.56
Q86ZF1,True,96.31
Q8NKB6,True,81.56
O94443,True,82.81
Q5AUN2,True,94.0
Q5AUZ9,True,93.12
Q68FU4,True,92.19
Q9HGP1,True,73.94
O42668,True,82.12
Q4X1K0,True,80.94
Q7S9I4,True,85.62
Q9P6N2,True,95.81
Q6P2Q9,True,84.94
Q6UGN0,True,90.44
P93604,True,77.12
P32910,True,69.69
B2U8U5,True,89.38
Q7LL04,True,89.31
B6HLP8,True,93.06
D4ATR3,True,92.0
Q2PWU9,True,94.19
Q9U720,True,65.19
Q0V640,True,54.97
Q54LP8,True,74.31
A0A1U8QL22,True,63.78
Q4R4T0,True,91.0
Q02959,True,77.69
Q39J78,True,91.38
P9WKP2,True,89.0
Q00808,True,84.12
Q8H124,True,86.31
Q32PX9,True,78.38
D4AWG9,True,70.31
O74196,True,96.25
A0AAD6NFV5,True,94.31
I6YGS0,True,96.44
Q9USN8,True,75.0
P39598,True,94.69
O95696,True,71.5
A0A0E3JHZ7,True,89.06
P08638,True,71.62
Q9FYG4,True,88.12
P9WJW2,True,92.75
Q4WP96,True,64.31
Q4WDD7,True,75.31
O74994,True,84.31
Q5A4W8,True,66.38
Q10286,True,80.56
Q9ZVP5,True,81.38
Q4WVS2,True,83.75
Q9UT27,True,87.75
O14133,True,92.69
O94225,True,83.88
O94411,True,71.38
A0A1D8PRL9,True,84.81
Q9USR3,True,78.75
A0A9P4XWM4,True,62.88
P15325,True,87.94
Q7SI11,True,81.5
Q10133,True,92.25
A9BFZ4,True,94.31
P17120,True,70.38
Q03EG5,True,96.88
O94111,True,92.94
A0A142I725,True,91.25
O43061,True,87.31
Q4WYF1,True,72.31
Q4WKB2,True,82.69
Q8X034,True,96.56
Q8P8Y5,True,92.88
Q9WTK8,True,89.44
Q59KJ7,True,84.81
O14059,True,95.56
Q0CI32,True,89.31
A0A075TRL0,True,80.88
G0R6S7,True,82.19
Q10237,True,66.44
Q7S5N8,True,90.25
Q6ZT89,True,75.5
D4B2H3,True,70.69
P0DYC0,False,
Q5KU05,True,85.12
Q5D6D7,False,
P87090,True,65.44
O59851,True,66.69
P20435,True,77.75
Q54RJ6,True,89.38
O94197,True,95.75
Q17QP1,True,78.94
Q7S1Z3,True,81.38
Q1K6Q3,True,86.88
Q09779,True,70.0
P53170,True,77.62
O14098,True,67.75
B1GVX5,True,84.88
Q9P2E3,True,73.88
Q4I1H6,True,87.25
P56525,True,86.31
P38298,True,92.75
O13717,True,91.12
P14284,True,80.94
Q96V52,True,96.06
P52918,True,85.31
Q4WUK1,True,80.94
Q51LS1,True,79.62
O13942,True,92.12
O60999,True,87.31
A0A0J9WVC0,True,65.25
P15700,True,95.38
A0AAN4T7P3,True,85.0
P22189,True,82.25
P36126,True,67.31
V6R6F0,True,89.69
Q5F4K8,True,85.0
Q9I3H5,True,91.12
P18142,True,93.0
Q05610,True,55.66
Q8KWT4,True,98.38
O42901,True,90.81
P36590,True,95.25
Q9UUI3,True,68.88
B8NM67,True,85.75
Q6L545,True,92.69
Q0V3D6,True,79.5
Q4WKB9,True,70.06
Q7RVN2,True,92.56
Q0CKB1,True,79.38
P78706,True,77.06
C0LGS2,True,85.81
P43564,True,59.75
P42114,True,91.81
O94297,True,97.38
P32951,True,87.69
Q7LKZ7,True,69.75
Q4WZL8,True,69.88
Q94A68,True,87.25
Q06137,True,86.56
P36088,True,92.12
Q70LL3,True,89.56
O60058,True,74.06
P78710,True,95.56
P36365,True,94.81
Q06266,True,65.12
Q9UTE8,True,89.38
Q2UUZ1,True,76.06
P0ADM2,True,81.69
G1UB61,True,79.06
P00175,True,85.5
Q9ZVF6,True,93.31
S0ENQ2,True,82.5
P17609,True,87.19
Q7X2H8,True,95.5
Q9P6L5,True,78.12
P36616,True,74.75
P38973,True,88.69
O94466,True,75.0
B8HMX3,True,93.44
Q9VYY9,True,77.81
C8VK14,True,92.62
Q07982,True,91.38
D4ACP5,True,70.81
Q7SC44,True,73.44
Q9Y7J8,True,76.5
F1R5H6,True,51.62
Q03689,True,89.62
A1CR32,True,82.31
A0JMG1,True,86.12
W7MAT5,True,84.69
Q08225,True,94.06
Q4WWR2,True,75.75
Q03277,True,88.25
I1RQ76,True,92.31
Q4WMF9,True,98.25
P40633,True,90.69
G3XMC0,True,92.88
P87144,True,92.0
Q9UUC6,True,89.0
Q5A786,True,97.44
Q9L4Y1,True,94.12
Q4WWM8,True,65.19
S0ENH1,True,96.5
Q06833,True,63.69
A6S4N4,True,89.25
Q10354,True,83.19
P32911,True,83.56
Q9P768,True,81.62
B0XTT5,True,70.19
Q10337,True,71.25
O13902,True,94.56
P32454,True,88.75
Q96VP3,True,97.31
Q4WEH3,True,77.25
P14682,True,77.69
P78972,True,79.56
Q9P7E3,True,89.81
Q4WQL0,True,79.44
O94271,True,67.69
J4UHQ8,True,95.75
P13860,True,92.12
P38360,True,67.38
Q9P3I3,True,92.5
W6QCN3,True,95.0
P0DO34,True,71.31
Q10082,True,92.62
P80581,True,94.06
W7NDQ0,True,85.25
P38339,True,76.88
Q06003,True,70.06
Q51MB1,True,55.25
O13907,True,93.25
Q0UAL6,True,78.94
O14096,True,86.31
Q9P7R4,True,87.31
P53697,True,86.88
Q8K2U2,True,91.31
Q873E8,True,97.31
A6QP15,True,92.81
Q00278,True,92.19
Q873X9,True,93.5
Q9CR89,True,81.0
Q4WJX5,True,87.12
Q3E798,True,75.5
Q9UT97,True,92.69
P32581,True,66.75
Q9P7S8,True,77.25
Q9P7R8,True,77.0
Q9JS04,True,88.19
Q12589,True,93.19
O14250,True,91.5
A0A1U8QTJ9,True,81.5
P87303,True,85.0
E9F648,True,93.06
B1L765,True,97.56
Q92372,True,84.19
O94260,True,66.38
A2BGU8,True,81.62
P53303,True,79.0
P09379,True,74.0
Q00316,True,94.06
O74431,True,75.75
J9VQV8,True,88.94
C5FBW2,True,89.56
Q09906,True,77.12
P42319,True,92.44
Q7TNT2,True,94.31
O13633,True,74.38
Q9UTE7,True,83.06
Q57604,True,93.19
Q4WU00,True,76.38
Q04895,True,81.0
D3ZRC4,True,66.56
O13896,True,83.69
A0A0A2IBU9,True,70.25
P33280,True,91.06
B6HJ92,True,85.38
Q10216,True,95.06
B3EWZ9,True,92.81
J9VVE7,True,74.06
A0A1D8PLI4,True,66.81
Q9URY9,True,89.5
Q12300,True,69.25
P53047,True,81.25
G0RH19,True,96.69
Q8TFD4,True,83.25
P15442,True,72.81
P34244,True,47.19
Q5RAD5,True,68.38
Q00472,True,96.38
B3FWT8,True,81.5
Q06315,True,56.12
Q4WF54,True,96.56
Q0CS96,True,73.75
Q9Y6Z8,True,88.0
Q870L2,True,84.06
P55434,True,92.38
O60078,True,89.31
P28737,True,82.38
Q9HDV9,True,86.81
Q6TN15,True,87.38
D4B4V1,True,90.31
G2XBE2,True,64.06
P38992,True,91.69
Q9Y7J3,True,93.62
Q9Z2F6,True,71.62
